question,row_count,columns,sample_rows_json
Orders per customer,122,"customerNumber, customerName, order_count","[{""customerNumber"": 141, ""customerName"": ""Euro+ Shopping Channel"", ""order_count"": 26}, {""customerNumber"": 124, ""customerName"": ""Mini Gifts Distributors Ltd."", ""order_count"": 17}, {""customerNumber"": 114, ""customerName"": ""Australian Collectors, Co."", ""order_count"": 5}, {""customerNumber"": 145, ""customerName"": ""Danish Wholesale Imports"", ""order_count"": 5}, {""customerNumber"": 323, ""customerName"": ""Down Under Souveniers, Inc"", ""order_count"": 5}]"
Max MSRP per product line,7,"productLine, max_msrp","[{""productLine"": ""Classic Cars"", ""max_msrp"": 214.3}, {""productLine"": ""Motorcycles"", ""max_msrp"": 193.66}, {""productLine"": ""Vintage Cars"", ""max_msrp"": 170}, {""productLine"": ""Planes"", ""max_msrp"": 157.69}, {""productLine"": ""Trucks and Buses"", ""max_msrp"": 136.67}]"
Min buy price per vendor,13,"productVendor, min_buy_price","[{""productVendor"": ""Carousel DieCast Legends"", ""min_buy_price"": 15.91}, {""productVendor"": ""Second Gear Diecast"", ""min_buy_price"": 16.24}, {""productVendor"": ""Classic Metal Creations"", ""min_buy_price"": 20.61}, {""productVendor"": ""Red Start Diecast"", ""min_buy_price"": 21.75}, {""productVendor"": ""Motor City Art Classics"", ""min_buy_price"": 22.57}]"
Total number of customers,1,total_customers,"[{""total_customers"": 122}]"
Total number of products,1,total_products,"[{""total_products"": 110}]"
Total revenue from payments,1,total_revenue,"[{""total_revenue"": 8853839.23}]"
Average product price,1,average_product_price,"[{""average_product_price"": 54.4}]"
Max payment amount,1,max_payment_amount,"[{""max_payment_amount"": 120166.58}]"
Min payment amount,1,min_payment_amount,"[{""min_payment_amount"": 615.45}]"
Count total orders,1,total_orders,"[{""total_orders"": 326}]"
Total quantity in stock,1,total_quantity_in_stock,"[{""total_quantity_in_stock"": 555131}]"
Average MSRP,1,average_msrp,"[{""average_msrp"": 100.44}]"
Number of employees,1,total_employees,"[{""total_employees"": 23}]"
